compound,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,pc21,pc22,pc23,pc24,pc25,pc26,pc27,pc28,pc29,pc30,pc31,pc32,pc33,pc34,pc35,pc36,pc37,pc38,pc39,pc40,pc41,pc42,pc43,pc44,pc45,pc46,pc47,pc48,pc49,pc50,pc51,pc52,pc53,pc54,pc55,pc56,pc57,pc58,pc59,pc60,pc61,pc62,pc63
Haloperidol,-0.49041095,0.5104922,0.12361843,0.7482381,-0.3852803,1.0518576,-0.48141527,-0.50278693,0.5450331,-0.89761144,1.0423715,-1.0395021,-1.3956136,-0.6708678,-0.7015849,0.48607823,0.6528034,0.08946944,0.2001683,-1.2623625,1.7549874,-1.2024539,-0.46348217,0.077525824,-1.2250931,-0.7592992,-2.669018,-1.123922,1.4447528,0.78327054,0.42282125,2.2349281,-0.95258117,-1.0325344,-1.053403,0.44045833,0.45058838,-0.7325487,0.7538432,-1.6398007,0.5691072,0.19233365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harmine hydrochloride,-1.6833314,0.9033659,0.23588914,0.26361653,-0.20076117,0.27351516,-0.17707849,-0.19111998,-0.4848609,-0.4179838,0.13437536,-0.58995575,-0.83300346,2.1825583,-1.1398575,-2.3077605,0.16946746,-0.729278,1.0485643,0.42446584,0.38212028,-1.6369401,1.254188,2.0119567,-0.28950304,0.25236723,1.8760545,-2.2134943,-1.1524603,-0.47950897,-0.4831046,-0.44466105,0.60325575,-0.88270026,-0.98678815,-0.4579486,0.90427685,-0.0015960052,0.10220264,0.44703838,-0.99330395,0.00029753873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hoechst 33258,-1.2927471,0.31160706,-0.23499733,-0.10475283,0.047337707,0.6270384,0.5914184,1.1452934,-0.66879976,0.645352,-0.5058824,0.6289993,0.8467535,-0.9703604,-0.49958122,1.0833464,2.913375,-0.835793,-0.20771395,-0.55782014,0.76203245,-2.020282,-1.1720419,0.51946735,-0.5494638,0.5847716,0.6250976,0.9022171,-0.28345424,-0.6376663,1.6766734,-0.24633458,2.0902815,1.8398296,0.043167114,-0.6809852,-1.0170233,1.2198452,0.69681907,-1.1014425,-0.12644243,0.02573169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydroxyurea,-0.30517372,-2.8888116,0.16019934,2.1262312,-1.2468604,0.68598324,1.8331586,2.388074,1.0936699,0.16757157,3.335963,0.28837034,0.22374856,-0.22358048,0.41114184,-0.08788693,-0.35019588,-1.4537089,0.33267856,0.78209966,-0.1566571,0.9287137,0.2495059,0.48818105,0.16263731,-0.41765305,-0.05764783,-0.39032897,-0.5256823,-0.2396016,0.028099094,-0.021732662,-0.2297478,0.22612485,0.20917627,0.26027253,-0.18887879,0.2535995,0.1412918,0.06904044,-0.17718758,-0.06868824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hygromycin B,1.0260172,-0.3720947,0.4314571,0.8811573,-0.20494692,1.3356146,0.4208295,0.55990136,0.6720613,0.06527477,-1.2179933,-0.0419789,0.3407995,-0.50713766,-1.3483031,0.4292032,0.6369092,-1.3323919,1.1990389,0.0032311177,0.069706775,-0.33672658,0.417148,0.53077364,0.5641654,0.32657534,0.74209875,0.90186036,0.45635125,1.0151176,0.49783587,-0.02872979,0.3774766,-0.88720787,-0.46291825,0.96189344,0.25354984,0.28045788,-0.33228943,0.80405223,-0.12845057,0.4270578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LY 294002 hydrochloride,-1.033471,0.7558639,-0.086835474,-0.5494361,0.5353361,0.84886587,0.7033665,-0.10065952,-0.020966768,0.37566787,-0.4891413,0.36302277,0.71678334,-0.51249653,-0.9429644,0.61544186,0.088344105,-0.5577114,-0.90783095,0.042978577,-0.20857602,2.1107783,-1.1098566,1.3968502,1.7677672,-0.59543353,-1.0091386,-0.77825063,-0.14401236,2.4777424,-2.3981493,1.1745486,2.1098962,0.49888387,-0.08022776,-0.40882036,0.23749396,-1.0763727,0.39621907,0.8723177,-1.3212881,-0.09192564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMS,0.491862,-0.8276688,-0.98718625,0.64114165,0.5149454,-3.4105885,2.7633047,0.95838803,0.29194206,-1.4374027,0.51190484,0.4465093,1.1355486,0.17604956,0.742379,0.82194287,-2.5504649,-1.9734812,0.08787482,1.3499904,-3.1337917,1.1595628,-0.019581236,-2.2015228,-3.0879855,-0.6285192,1.0852312,-0.33063307,0.6400998,-0.10125822,-2.1545768,1.0064315,-1.081519,0.3279516,0.45554677,-2.5858397,-0.4388821,-1.9327527,-1.4505085,-0.8138362,-0.67358667,-0.39352497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NaCl,-1.2751982,-2.9662387,2.7744899,-1.5572121,0.3948291,0.70114803,1.6029936,-3.5860965,-1.0706165,0.4285715,0.344716,-0.5999069,0.98032457,-0.18509331,0.736922,0.119854204,-0.5349551,0.5443847,0.1606624,-0.67549086,0.25919458,-0.6763275,0.041299824,-0.14336215,0.04858421,0.06854987,0.07531766,0.21707237,-0.002197637,0.03305226,0.025760038,-0.26423538,-0.2071498,0.2255806,-0.34205574,-0.1438243,0.06673379,0.13442066,-0.031294733,0.012687311,-0.111472145,-0.059912425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neomycin B,0.741921,-0.46977636,0.7014747,1.0277176,-0.70837283,1.5358232,0.7394208,0.7439981,0.6920752,-0.51369524,-0.85912985,-0.50446475,0.26326898,-0.31180376,-1.3358504,1.1386509,0.9828985,-1.1442627,1.4554546,-0.4616876,0.22348806,-0.0304094,0.69861287,0.6619424,0.9023762,-0.07514,-0.13903095,0.86517364,0.077027075,0.9147255,0.08123026,0.53353095,0.82801706,-0.7984852,-0.52959794,1.4538702,0.019800182,0.05527213,-0.70008045,0.7890866,0.5937419,0.10670581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nigericin,1.5393696,0.47568524,1.2086452,-0.6847081,-0.16408245,1.0996644,-0.47103643,1.0528079,-0.08351374,0.06668736,0.61367065,0.007151069,0.5076256,0.13017082,0.13138817,-0.38521972,-0.21509509,-0.63194263,-1.0297933,-1.2902334,-0.5684,-0.9025275,-0.42783988,1.1803952,-0.5844881,-1.3941623,1.8514377,1.5941176,0.81955796,0.9509935,0.9940089,-0.4732108,-0.1723779,0.56504166,0.5743771,0.06861179,2.4986515,-2.9004378,-0.58953637,0.53193176,1.08562,0.06271278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nocodazole,-0.916248,0.61873704,0.16614085,0.6960363,0.82154334,-1.5492587,1.0414586,0.6485944,-1.38424,-0.061095353,-0.8136729,1.1668724,0.10167356,-0.436121,-1.429327,0.40283945,-0.8116881,-1.6855356,0.6182129,-0.4530823,-1.45845,-1.3606855,-0.18097916,-0.3875734,2.2122507,-1.257903,-1.1557369,0.49701172,0.6486204,-0.79208726,-0.5096908,-1.0180793,-2.6798847,0.5163292,-1.6677834,-0.52012914,0.2434771,-0.14267997,0.020746091,-0.10853755,0.2922402,0.07613345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
